name;url;average_product_count;latest_product_count;latest_timestamp_CEST
Gaming-Laptops;https://www.medion.com/at/shop/gaming/laptop;14,0;14;2026-09-09 20:38:43
Gaming-Laptops;https://www.medion.com/de/shop/gaming/laptop;15,0;15;2026-09-09 20:38:43
Gaming-Monitore;https://www.medion.com/at/shop/gaming-monitore;3,0;3;2026-09-09 20:38:43
Gaming-Monitore;https://www.medion.com/de/shop/gaming/monitor;3,0;3;2026-09-09 20:38:43
Gaming-PCs;https://www.medion.com/at/shop/pc-gamer;15,43;16;2026-09-09 20:38:43
Gaming-PCs;https://www.medion.com/de/shop/gaming/pc;15,43;16;2026-09-09 20:38:43
Gaming-ZubehÃ¶r;https://www.medion.com/at/shop/gaming-zubehoer;3,0;3;2026-09-09 20:38:43
Gaming-ZubehÃ¶r;https://www.medion.com/de/shop/gaming/zubehoer;3,0;3;2026-09-09 20:38:43
Garantierte Lieferung;https://www.medion.com/at/shop/garantierte-lieferung;161,0;0;2026-09-09 20:38:43
Garten Angebote;https://www.medion.com/at/shop/garten-angebote;17,0;17;2026-09-09 20:38:43
Garten Angebote;https://www.medion.com/de/shop/garten-angebote;17,0;17;2026-09-09 20:38:43
GefrierschrÃ¤nke;https://www.medion.com/at/shop/kueche/gefrierschraenke;6,0;6;2026-09-09 20:38:43
GefrierschrÃ¤nke;https://www.medion.com/de/shop/kueche/gefrierschraenke;8,0;8;2026-09-09 20:38:43
Geschenke ab 400 Euro;https://www.medion.com/at/shop/geschenke-ab-400-euro;49,43;50;2026-09-09 20:38:43
Geschenke ab 400 Euro;https://www.medion.com/de/shop/geschenke-ab-400-euro;62,43;63;2026-09-09 20:38:43
Geschenke bis 100â¬;https://www.medion.com/at/shop/geschenke-bis-100-euro;160,86;160;2026-09-09 20:38:43
Geschenke bis 100â¬;https://www.medion.com/de/shop/geschenke-bis-100-euro;160,86;160;2026-09-09 20:38:43
Geschenke bis 250â¬;https://www.medion.com/at/shop/geschenke-bis-250-euro;155,86;155;2026-09-09 20:38:43
Geschenke bis 250â¬;https://www.medion.com/de/shop/geschenke-bis-250-euro;167,86;167;2026-09-09 20:38:43
Geschenke bis 400 Euro;https://www.medion.com/at/shop/geschenke-bis-400-euro;63,0;63;2026-09-09 20:38:43
Geschenke bis 400 Euro;https://www.medion.com/de/shop/geschenke-bis-400-euro;87,0;87;2026-09-09 20:38:43
GeschirrspÃ¼ler;https://www.medion.com/at/shop/geschirrspueler;2,0;2;2026-09-09 20:38:43
GeschirrspÃ¼ler;https://www.medion.com/de/shop/kueche/geschirrspueler;9,0;9;2026-09-09 20:38:43
GlÃ¤ttbÃ¼rsten;https://www.medion.com/at/shop/haarpflege/glaettbuersten;2,0;2;2026-09-09 20:38:43
GlÃ¤ttbÃ¼rsten;https://www.medion.com/de/shop/haarpflege/glaettbuersten;2,0;2;2026-09-09 20:38:43
GlÃ¤tteisen;https://www.medion.com/at/shop/haarpflege/glaetteisen;4,0;4;2026-09-09 20:38:43
GlÃ¤tteisen;https://www.medion.com/de/shop/haarpflege/glaetteisen;4,0;4;2026-09-09 20:38:43
GlÃ¤tteisen LIFE HS1;https://www.medion.com/de/shop/glaetteisen-life-hs1;2,0;2;2026-09-09 20:38:43
Grills;https://www.medion.com/at/shop/kueche/grills;1,0;1;2026-09-09 20:38:43
Grills;https://www.medion.com/de/shop/kueche/grills;1,0;1;2026-09-09 20:38:43
HD TVs;https://www.medion.com/at/shop/tv/hd;5,0;5;2026-09-09 20:38:43
HD TVs;https://www.medion.com/de/shop/tv/hd;5,0;5;2026-09-09 20:38:43
Haarpflege;https://www.medion.com/at/shop/haarpflege;8,0;8;2026-09-09 20:38:43
Haarpflege;https://www.medion.com/de/shop/haarpflege;8,0;8;2026-09-09 20:38:43
Haartrockner;https://www.medion.com/at/shop/haarpflege/haartrockner;2,0;2;2026-09-09 20:38:43
Haartrockner;https://www.medion.com/de/shop/haarpflege/haartrockner;2,0;2;2026-09-09 20:38:43
Haartrockner LIFE HD2;https://www.medion.com/de/shop/haartrockner-life-hd2;2,0;2;2026-09-09 20:38:43
Handstaubsauger;https://www.medion.com/at/shop/handstaubsauger;5,0;5;2026-09-09 20:38:43
Handstaubsauger;https://www.medion.com/de/shop/handstaubsauger;5,0;5;2026-09-09 20:38:43
Haushalt- & Freizeit-Angebote;https://www.medion.com/at/shop/haushalt/angebote;25,0;25;2026-09-09 20:38:43
Haushalt- & Freizeit-Angebote;https://www.medion.com/de/shop/haushalt/angebote;27,0;27;2026-09-09 20:38:43
Haushalt-ZubehÃ¶r;https://www.medion.com/at/shop/haushalt-zubehoer;57,0;57;2026-09-09 20:38:43
Haushalt-ZubehÃ¶r;https://www.medion.com/de/shop/haushalt-zubehoer;58,0;58;2026-09-09 20:38:43
Heimkinosystem;https://www.medion.com/at/shop/entertainment;4,0;4;2026-09-09 20:38:43
Heimkinosystem;https://www.medion.com/de/shop/entertainment;4,0;4;2026-09-09 20:38:43
Heissluftfritteusen Produkte;https://www.medion.com/at/shop/kueche/heissluftfritteusen;19,0;19;2026-09-09 20:38:43
Heizen & KÃ¼hlen;https://www.medion.com/at/shop/heizen-kuehlen;9,0;9;2026-09-09 20:38:43
Heizen & KÃ¼hlen;https://www.medion.com/de/shop/heizen-kuehlen;9,0;9;2026-09-09 20:38:43
HeiÃluftfritteuse mit zwei Kammern;https://www.medion.com/de/shop/kueche/heissluftfritteusen/doppelkammer;4,0;4;2026-09-09 20:38:43
High End Gaming Notebooks;https://www.medion.com/at/shop/high-end-gaming-notebooks;6,0;6;2026-09-09 20:38:43
High End Gaming Notebooks;https://www.medion.com/de/shop/high-end-gaming-notebooks;7,0;7;2026-09-09 20:38:43
High End Gaming PCs;https://www.medion.com/at/shop/high-end-gaming-pc;9,0;9;2026-09-09 20:38:43
High End Gaming PCs;https://www.medion.com/de/shop/high-end-gaming-pc;9,0;9;2026-09-09 20:38:43
Hobby & Freizeit;https://www.medion.com/at/shop/hobby-und-freizeit;12,0;12;2026-09-09 20:38:43
Hobby & Freizeit;https://www.medion.com/de/shop/hobby-und-freizeit;12,0;12;2026-09-09 20:38:43
Homeoffice Laptops;https://www.medion.com/at/shop/laptops/homeoffice;12,0;12;2026-09-09 20:38:43
Homeoffice Laptops;https://www.medion.com/de/shop/laptops/homeoffice;12,0;12;2026-09-09 20:38:43
Induktionskochplatten;https://www.medion.com/at/shop/kueche/induktionskochplatten;6,0;6;2026-09-09 20:38:43
Induktionskochplatten;https://www.medion.com/de/shop/kueche/induktionskochplatten;6,0;6;2026-09-09 20:38:43
Intel 13 Alle;https://www.medion.com/at/shop/intel-13-alle;6,0;6;2026-09-09 20:38:43
Intel 13 Alle;https://www.medion.com/de/shop/intel-13-alle;6,0;6;2026-09-09 20:38:43
Intel Core Gaming Laptops;https://www.medion.com/at/shop/intel-core-gaming-laptops;2,0;2;2026-09-09 20:38:43
Intel Core Gaming Laptops;https://www.medion.com/de/shop/intel-core-gaming-laptops;2,0;2;2026-09-09 20:38:43
Intel Core Laptops;https://www.medion.com/at/shop/laptops/intel-core;18,0;18;2026-09-09 20:38:43
Intel Core Laptops;https://www.medion.com/de/shop/laptops/intel-core;19,0;19;2026-09-09 20:38:43
Intel Core PCs;https://www.medion.com/at/shop/intel-core-pcs;2,0;2;2026-09-09 20:38:43
