name	url	average_product_count	historical_min_product_count	historical_max_product_count	latest_product_count	latest_timestamp_CEST
Haushalt- & Freizeit-Angebote	https://www.medion.com/de/shop/haushalt/angebote	25,37	18	28	18	2026-09-15 14:51:20
Haushalt-Zubehör	https://www.medion.com/at/shop/haushalt-zubehoer	57,0	57	57	57	2026-09-15 14:51:20
Haushalt-Zubehör	https://www.medion.com/de/shop/haushalt-zubehoer	58,0	58	58	58	2026-09-15 14:51:20
Heimkinosystem	https://www.medion.com/at/shop/entertainment	4,0	4	4	4	2026-09-15 14:51:20
Heimkinosystem	https://www.medion.com/de/shop/entertainment	4,0	4	4	4	2026-09-15 14:51:20
Heissluftfritteusen Produkte	https://www.medion.com/at/shop/kueche/heissluftfritteusen	19,02	19	20	19	2026-09-15 14:51:20
Heizen & Kühlen	https://www.medion.com/at/shop/heizen-kuehlen	8,78	8	9	9	2026-09-15 14:51:20
Heizen & Kühlen	https://www.medion.com/de/shop/heizen-kuehlen	8,78	8	9	9	2026-09-15 14:51:20
HeiÃluftfritteuse mit zwei Kammern	https://www.medion.com/de/shop/kueche/heissluftfritteusen/doppelkammer	4,0	4	4	4	2026-09-15 14:51:20
Herbst Sale	https://www.medion.com/de/shop/herbst-sale					2026-09-15 14:51:20
High End Gaming Notebooks	https://www.medion.com/at/shop/high-end-gaming-notebooks	4,63	4	6	4	2026-09-15 14:51:20
High End Gaming Notebooks	https://www.medion.com/de/shop/high-end-gaming-notebooks	5,63	5	7	5	2026-09-15 14:51:20
High End Gaming PCs	https://www.medion.com/at/shop/high-end-gaming-pc	8,98	8	9	8	2026-09-15 14:51:20
High End Gaming PCs	https://www.medion.com/de/shop/high-end-gaming-pc	8,98	8	9	8	2026-09-15 14:51:20
Hobby & Freizeit	https://www.medion.com/at/shop/hobby-und-freizeit	12,0	12	12	12	2026-09-15 14:51:20
Hobby & Freizeit	https://www.medion.com/de/shop/hobby-und-freizeit	12,0	12	12	12	2026-09-15 14:51:20
Homeoffice Laptops	https://www.medion.com/at/shop/laptops/homeoffice	12,2	11	13	12	2026-09-15 14:51:20
Homeoffice Laptops	https://www.medion.com/de/shop/laptops/homeoffice	12,2	11	13	12	2026-09-15 14:51:20
Induktionskochplatten	https://www.medion.com/at/shop/kueche/induktionskochplatten	6,0	6	6	6	2026-09-15 14:51:20
Induktionskochplatten	https://www.medion.com/de/shop/kueche/induktionskochplatten	6,0	6	6	6	2026-09-15 14:51:20
Induktionsplatte: Doppel - Listing	https://www.medion.com/de/shop/search?text=doppel-induktionskochplatte	2,0	2	2	2	2026-09-15 14:51:20
Intel 13 Alle	https://www.medion.com/at/shop/intel-13-alle	6,0	6	6	6	2026-09-15 14:51:20
Intel 13 Alle	https://www.medion.com/de/shop/intel-13-alle	6,0	6	6	6	2026-09-15 14:51:20
Intel Core Gaming Laptops	https://www.medion.com/at/shop/intel-core-gaming-laptops	1,88	1	2	1	2026-09-15 14:51:20
Intel Core Gaming Laptops	https://www.medion.com/de/shop/intel-core-gaming-laptops	1,88	1	2	1	2026-09-15 14:51:20
Intel Core Laptops	https://www.medion.com/at/shop/laptops/intel-core	16,34	13	18	13	2026-09-15 14:51:20
Intel Core Laptops	https://www.medion.com/de/shop/laptops/intel-core	17,34	14	19	14	2026-09-15 14:51:20
Intel Core PCs	https://www.medion.com/at/shop/intel-core-pcs	2,0	2	2	2	2026-09-15 14:51:20
Intel Core PCs	https://www.medion.com/de/shop/intel-core-pcs	2,0	2	2	2	2026-09-15 14:51:20
Intel Core Ultra Prozessoren	https://www.medion.com/at/shop/intel-core-ultra-series-2-produkte	23,27	22	24	22	2026-09-15 14:51:20
Intel Core Ultra Prozessoren	https://www.medion.com/de/shop/intel-core-ultra-series-2-produkte	24,27	23	25	23	2026-09-15 14:51:20
Intel Core i5	https://www.medion.com/at/shop/laptops/intel-core-i5	1,2	1	2	1	2026-09-15 14:51:20
Intel Core i5	https://www.medion.com/de/shop/laptops/intel-core-i5	1,2	1	2	1	2026-09-15 14:51:20
Intel Core i7	https://www.medion.com/at/shop/laptops/intel-core-i7	3,76	2	4	2	2026-09-15 14:51:20
Intel Core i7	https://www.medion.com/de/shop/laptops/intel-core-i7	3,76	2	4	2	2026-09-15 14:51:20
Intel Games Bundle Produkte	https://www.medion.com/at/shop/lp/intel-games-bundle-produkte	17,29	16	18	16	2026-09-15 14:51:20
Intel Games Bundle Produkte	https://www.medion.com/de/shop/lp/intel-games-bundle-produkte	18,29	17	19	17	2026-09-15 14:51:20
Intel PC	https://www.medion.com/at/shop/lp/intel-pc	11,15	11	12	11	2026-09-15 14:51:20
Intel PC	https://www.medion.com/de/shop/lp/intel-pc	11,15	11	12	11	2026-09-15 14:51:20
Intel Produkte	https://www.medion.com/at/shop/lp/intel-produkte	29,66	28	30	29	2026-09-15 14:51:20
